,HomeTeam,AwayTeam,FTR,Home_Days_Rest,Away_Days_Rest,Home_Avg_Scored_5,Home_Avg_Conceded_5,Home_Avg_Shots_Last_5,Home_Avg_Shots_Conceded_Last_5,Home_Wins_Last_5,Home_Losses_Last_5,Home_Total_Points,Home_Points_Last_5,Away_Avg_Scored_5,Away_Avg_Conceded_5,Away_Avg_Shots_Last_5,Away_Avg_Shots_Conceded_Last_5,Away_Wins_Last_5,Away_Losses_Last_5,Away_Total_Points,Away_Points_Last_5,Home_ELO_Score,Away_ELO_Score,ELO_Diff,Points_Diff
187,PAOK,Panathinaikos,D,14.0,14.0,2.0,0.6,10.8,8.2,3.0,1.0,57.0,10.0,2.6,0.8,14.2,8.6,4.0,0.0,49.0,13.0,1621.7296382133627,1550.1850972968043,71.54454091655839,8.0
188,Olympiakos,AEK,A,14.0,14.0,1.4,0.2,23.2,3.8,3.0,0.0,58.0,11.0,2.4,0.8,15.6,9.4,3.0,0.0,60.0,11.0,1633.0584093767377,1640.759186433901,-7.70077705716335,-2.0
190,Atromitos,Kifisia,D,4.0,4.0,0.8,0.8,11.0,9.2,1.0,1.0,30.0,6.0,1.0,2.2,11.6,10.4,1.0,4.0,27.0,3.0,1326.092489687257,1296.385686220612,29.70680346664517,3.0
191,Larisa,Panetolikos,A,4.0,4.0,0.4,1.6,9.6,18.0,0.0,3.0,23.0,2.0,0.6,0.6,12.4,10.8,1.0,1.0,27.0,6.0,1303.7558916947037,1294.8659729257006,8.889918769003089,-4.0
189,Panserraikos,Asteras Tripolis,D,4.0,4.0,0.8,0.6,8.4,15.2,2.0,1.0,20.0,8.0,1.0,1.4,9.0,14.0,1.0,3.0,20.0,4.0,1263.8822941229867,1276.2976293229285,-12.415335199941865,0.0
194,Kifisia,Asteras Tripolis,D,10.0,10.0,0.8,1.4,11.4,11.0,1.0,3.0,28.0,4.0,1.0,1.0,9.2,11.6,1.0,2.0,21.0,5.0,1297.0254009451487,1276.0297367862515,20.99566415889717,7.0
195,Atromitos,Larisa,H,10.0,10.0,0.6,0.8,11.6,9.2,0.0,1.0,31.0,4.0,0.6,1.4,10.2,17.8,0.0,3.0,23.0,2.0,1325.4527749627202,1296.064029241275,29.388745721445275,8.0
192,OFI Crete,Levadeiakos,H,13.0,13.0,1.0,1.8,8.2,18.4,1.0,2.0,33.0,5.0,0.6,1.8,7.4,11.6,1.0,3.0,43.0,4.0,1383.7913801421516,1395.7102709781793,-11.918890836027686,-10.0
193,Aris,Volos NFC,H,13.0,13.0,0.4,1.2,15.4,10.2,0.0,2.0,31.0,3.0,1.2,1.4,10.2,13.0,1.0,1.0,32.0,6.0,1454.9385583139922,1357.9575338855707,96.9810244284215,-1.0
196,Panetolikos,Panserraikos,A,10.0,10.0,1.0,0.6,12.8,11.6,2.0,0.0,30.0,9.0,0.6,0.2,9.6,11.8,2.0,0.0,21.0,9.0,1302.5578353791293,1264.1501866596636,38.40764871946567,9.0
197,AEK,PAOK,H,14.0,14.0,1.8,0.8,14.0,9.4,3.0,0.0,63.0,11.0,1.6,0.6,7.8,9.4,2.0,1.0,58.0,8.0,1648.092979015071,1620.2066907764913,27.88628823857971,5.0
198,Panathinaikos,Olympiakos,A,14.0,14.0,2.0,0.6,14.0,7.4,3.0,0.0,50.0,11.0,1.0,0.4,19.0,4.2,2.0,1.0,58.0,8.0,1551.7080447336757,1625.7246167955677,-74.01657206189202,-8.0
