,HomeTeam,AwayTeam,FTR,Home_Days_Rest,Away_Days_Rest,Home_Avg_Scored_5,Home_Avg_Conceded_5,Home_Avg_Shots_Last_5,Home_Avg_Shots_Conceded_Last_5,Home_Wins_Last_5,Home_Losses_Last_5,Home_Total_Points,Home_Points_Last_5,Away_Avg_Scored_5,Away_Avg_Conceded_5,Away_Avg_Shots_Last_5,Away_Avg_Shots_Conceded_Last_5,Away_Wins_Last_5,Away_Losses_Last_5,Away_Total_Points,Away_Points_Last_5,Home_ELO_Score,Away_ELO_Score,ELO_Diff
112,Stuttgart,Bayern Munich,A,6.0,7.0,2.0,2.2,16.0,13.8,2.0,2.0,22.0,7.0,3.4,1.0,19.6,7.6,4.0,0.0,34.0,13.0,1554.5399195884786,1945.3244805898298,-390.7845610013512
113,Wolfsburg,Union Berlin,H,6.0,7.0,1.2,1.8,11.2,15.8,1.0,3.0,9.0,4.0,0.8,1.0,10.4,12.6,1.0,2.0,15.0,5.0,1554.3411357164346,1583.821545406139,-29.480409689704402
114,RB Leipzig,Ein Frankfurt,H,8.0,6.0,2.4,0.8,18.0,12.8,3.0,1.0,26.0,10.0,1.8,1.0,13.2,8.4,3.0,0.0,21.0,11.0,1746.8439710609066,1660.956493452757,85.88747760814954
115,Hamburg,Werder Bremen,H,7.0,8.0,0.8,1.6,14.2,14.6,1.0,3.0,12.0,4.0,1.0,1.0,14.6,12.2,2.0,1.0,16.0,8.0,1544.0254422257185,1607.2584900270178,-63.233047801299335
116,Dortmund,Hoffenheim,H,8.0,8.0,1.6,1.0,14.0,10.6,3.0,0.0,25.0,11.0,2.6,1.0,14.4,14.4,4.0,0.0,23.0,13.0,1844.2814808857875,1697.6669461098986,146.61453477588884
117,Union Berlin,RB Leipzig,H,6.0,6.0,1.0,1.4,12.2,10.2,1.0,2.0,15.0,5.0,2.4,0.8,18.2,11.4,3.0,1.0,29.0,10.0,1572.975061528654,1754.4210848926734,-181.44602336401954
118,Ein Frankfurt,Augsburg,H,7.0,7.0,1.4,2.2,12.8,9.8,2.0,1.0,21.0,8.0,1.0,1.4,13.2,14.8,2.0,3.0,13.0,6.0,1653.3793796209902,1557.0698457339502,96.30953388704006
119,Hoffenheim,Hamburg,H,6.0,6.0,2.0,1.2,13.8,13.6,3.0,1.0,23.0,10.0,1.4,1.8,11.2,15.4,2.0,2.0,15.0,7.0,1691.6530065052086,1555.8256033593161,135.8274031458925
120,M'gladbach,Wolfsburg,A,8.0,7.0,2.2,0.2,12.4,14.0,4.0,0.0,16.0,13.0,1.6,2.0,10.8,14.6,1.0,3.0,12.0,4.0,1596.2927616643346,1565.1876195939196,31.105142070415013
121,St Pauli,Heidenheim,H,7.0,7.0,0.6,2.2,10.0,12.2,0.0,4.0,8.0,1.0,1.0,2.4,8.6,16.4,2.0,2.0,11.0,7.0,1499.9471014875085,1522.8090345105593,-22.861933023050824
122,Leverkusen,FC Koln,H,7.0,7.0,2.0,1.6,14.6,12.0,2.0,3.0,23.0,6.0,2.0,2.0,14.8,10.6,1.0,2.0,16.0,5.0,1805.8855504154435,1543.2293224577584,262.65622795768513
123,Freiburg,Dortmund,D,8.0,7.0,1.8,1.8,13.6,11.4,2.0,2.0,16.0,7.0,1.8,1.0,10.2,11.8,3.0,0.0,28.0,11.0,1627.170307281027,1847.2884506881323,-220.11814340710544
124,Bayern Munich,Mainz,D,8.0,9.0,3.8,1.0,18.0,10.0,4.0,0.0,37.0,13.0,0.4,1.6,7.8,15.0,0.0,3.0,6.0,2.0,1946.278374893448,1564.0446594953903,382.2337153980577
125,Werder Bremen,Stuttgart,A,7.0,8.0,1.2,1.6,13.4,12.2,1.0,2.0,16.0,5.0,1.6,3.0,14.8,15.0,1.0,3.0,22.0,4.0,1595.4583288934202,1552.6321309812422,42.82619791217803
126,Dortmund,M'gladbach,H,5.0,6.0,1.8,1.2,11.0,14.2,2.0,0.0,29.0,9.0,1.6,0.8,12.2,13.0,3.0,1.0,16.0,10.0,1844.4859883329398,1585.3998680165034,259.08612031643634
127,Augsburg,Werder Bremen,D,7.0,6.0,1.0,1.4,13.8,16.0,2.0,3.0,13.0,6.0,1.0,2.2,14.2,15.0,1.0,3.0,16.0,4.0,1549.7729725448253,1584.231896994219,-34.458924449393635
128,FC Koln,Union Berlin,A,7.0,8.0,1.2,2.2,11.4,11.8,0.0,3.0,16.0,2.0,1.6,1.6,12.4,9.4,2.0,2.0,18.0,7.0,1539.6163843346505,1587.7693595227938,-48.15297518814327
129,Hamburg,Ein Frankfurt,D,7.0,7.0,1.4,1.8,11.8,12.8,2.0,2.0,15.0,7.0,1.4,2.0,11.8,10.4,3.0,1.0,24.0,10.0,1549.547329661117,1660.676252810115,-111.12892314899818
130,Stuttgart,Hoffenheim,D,6.0,7.0,2.2,2.4,16.8,13.6,2.0,2.0,25.0,7.0,2.2,1.0,13.8,14.0,3.0,1.0,26.0,10.0,1563.8585628804435,1697.9312802034078,-134.0727173229643
131,Wolfsburg,Freiburg,A,7.0,6.0,1.8,1.6,10.6,15.4,2.0,2.0,15.0,7.0,2.0,2.0,15.2,11.0,2.0,2.0,17.0,7.0,1576.0805132417506,1632.7752319914118,-56.694718749661206
132,RB Leipzig,Leverkusen,A,8.0,7.0,2.0,1.2,16.8,11.0,2.0,2.0,29.0,7.0,2.4,1.0,16.6,9.6,3.0,2.0,26.0,9.0,1739.6267868985335,1807.6920194769975,-68.06523257846402
134,Mainz,St Pauli,D,7.0,8.0,0.6,1.8,6.8,18.8,0.0,3.0,7.0,2.0,1.0,1.6,8.4,13.2,1.0,3.0,11.0,4.0,1572.0502138355978,1510.6041727386455,61.446041096952285
133,Heidenheim,Bayern Munich,A,8.0,7.0,1.0,2.6,10.8,14.8,2.0,3.0,11.0,6.0,3.6,1.4,19.2,9.6,3.0,0.0,38.0,11.0,1512.1519632594222,1942.2755977233442,-430.1236344639219
135,Ein Frankfurt,Dortmund,D,20.0,21.0,1.4,2.2,10.8,11.6,2.0,1.0,25.0,8.0,2.0,1.0,9.6,13.6,3.0,0.0,32.0,11.0,1657.5824969946277,1846.3230758270918,-188.74057883246405
136,Freiburg,Hamburg,H,21.0,21.0,2.4,2.4,16.6,12.2,2.0,2.0,20.0,7.0,1.4,1.8,11.8,11.2,2.0,2.0,16.0,7.0,1641.1577580269907,1552.6410854766043,88.51667255038637
137,Heidenheim,FC Koln,D,20.0,21.0,1.0,2.2,12.2,14.4,2.0,3.0,11.0,6.0,1.0,1.8,10.2,12.2,0.0,3.0,16.0,2.0,1510.600792119316,1530.9935319097488,-20.392739790432643
138,Union Berlin,Mainz,D,21.0,20.0,1.4,1.2,12.2,9.6,3.0,2.0,21.0,9.0,0.6,1.6,8.8,17.0,0.0,2.0,8.0,3.0,1596.3922119476956,1570.299865806036,26.09234614165962
139,Leverkusen,Stuttgart,A,21.0,21.0,1.8,1.2,14.6,13.2,3.0,2.0,29.0,9.0,1.6,2.0,15.4,11.0,1.0,2.0,26.0,5.0,1811.72482406648,1567.5366991247008,244.18812494177928
